'EmployeeID','Department.ID','HourlyRate','Vehicle','DistanceFromHome','University.ID','TotalWorkingYears','JobInvolvement','Age','BusinessTravel','Education.years','EducationField','Gender','MaritalStatus','NumCompaniesWorked','OverTime','JobRole'
30,2,96,2,15,16,0,3,21,'Travel_Rarely',2,'Life Sciences','Male','Single',1,'No','Research Scientist'
405,2,54,1,3,20,0,3,18,'Travel_Rarely',3,'Life Sciences','Male','Single',1,'No','Laboratory Technician'
850,2,50,2,3,10,0,3,27,'Non-Travel',3,'Medical','Male','Married',1,'No','Research Scientist'
1012,2,73,4,5,8,0,3,18,'Non-Travel',2,'Life Sciences','Male','Single',1,'No','Research Scientist'
1156,2,80,5,8,15,0,3,18,'Non-Travel',1,'Medical','Male','Single',1,'No','Laboratory Technician'
1368,2,97,5,1,13,0,3,18,'Non-Travel',3,'Life Sciences','Female','Single',1,'No','Laboratory Technician'
1839,2,33,1,14,9,0,3,18,'Non-Travel',3,'Medical','Female','Single',1,'No','Research Scientist'
167,3,50,5,22,12,0,3,19,'Travel_Rarely',1,'Marketing','Male','Single',1,'Yes','Sales Representative'
411,3,69,1,10,16,0,2,18,'Travel_Rarely',3,'Medical','Female','Single',1,'No','Sales Representative'
614,3,69,4,5,19,0,3,18,'Travel_Frequently',3,'Marketing','Male','Single',1,'Yes','Sales Representative'
1624,3,70,5,3,17,0,3,18,'Travel_Frequently',2,'Medical','Female','Single',1,'Yes','Sales Representative'
566,1,52,4,2,16,1,2,19,'Travel_Rarely',2,'Technical Degree','Male','Single',1,'No','Human Resources'
1714,1,58,5,22,11,1,1,24,'Travel_Rarely',1,'Human Resources','Male','Married',1,'No','Human Resources'
1865,1,87,3,6,10,1,2,29,'Travel_Rarely',1,'Medical','Male','Married',1,'No','Human Resources'
1944,1,58,2,22,20,1,2,27,'Travel_Frequently',3,'Human Resources','Female','Married',1,'No','Human Resources'
11,2,67,2,24,20,1,3,30,'Travel_Rarely',1,'Life Sciences','Male','Divorced',1,'No','Laboratory Technician'
22,2,96,5,16,6,1,4,22,'Non-Travel',2,'Medical','Male','Divorced',1,'Yes','Laboratory Technician'
53,2,75,4,4,1,1,3,35,'Travel_Rarely',2,'Other','Male','Divorced',1,'No','Laboratory Technician'
54,2,33,4,2,10,1,3,27,'Travel_Rarely',4,'Life Sciences','Female','Divorced',1,'No','Laboratory Technician'
55,2,48,5,25,2,1,1,26,'Travel_Rarely',3,'Life Sciences','Male','Single',1,'No','Laboratory Technician'
63,2,36,5,8,9,1,4,35,'Travel_Rarely',1,'Life Sciences','Male','Married',1,'No','Laboratory Technician'
95,2,87,4,1,14,1,3,31,'Travel_Rarely',4,'Medical','Male','Single',1,'No','Research Scientist'
134,2,71,4,1,12,1,3,32,'Travel_Rarely',1,'Life Sciences','Male','Single',1,'No','Research Scientist'
137,2,66,5,6,15,1,2,20,'Travel_Frequently',3,'Life Sciences','Female','Single',1,'Yes','Laboratory Technician'
144,2,59,1,15,7,1,3,22,'Travel_Rarely',3,'Medical','Female','Single',1,'No','Laboratory Technician'
201,2,79,1,3,15,1,3,19,'Travel_Rarely',1,'Medical','Female','Single',1,'No','Laboratory Technician'
224,2,79,5,3,12,1,2,27,'Non-Travel',3,'Medical','Male','Divorced',1,'Yes','Research Scientist'
243,2,47,1,2,15,1,2,19,'Travel_Rarely',3,'Life Sciences','Male','Single',1,'No','Laboratory Technician'
353,2,96,2,1,19,1,3,51,'Travel_Rarely',3,'Life Sciences','Male','Married',1,'No','Research Scientist'
556,2,42,1,2,13,1,3,38,'Travel_Frequently',2,'Life Sciences','Male','Married',1,'Yes','Laboratory Technician'
622,2,66,2,24,3,1,1,26,'Travel_Rarely',3,'Technical Degree','Male','Single',1,'Yes','Laboratory Technician'
643,2,94,5,17,2,1,2,24,'Travel_Rarely',2,'Other','Male','Married',1,'No','Laboratory Technician'
657,2,83,4,1,9,1,2,20,'Travel_Rarely',3,'Life Sciences','Female','Single',1,'No','Research Scientist'
680,2,71,1,3,2,1,3,30,'Travel_Frequently',3,'Medical','Female','Divorced',1,'No','Research Scientist'
701,2,32,5,10,9,1,3,20,'Travel_Rarely',1,'Medical','Male','Single',1,'Yes','Research Scientist'
704,2,41,1,3,12,1,2,35,'Non-Travel',3,'Life Sciences','Male','Married',1,'No','Laboratory Technician'
811,2,63,3,6,3,1,4,23,'Travel_Rarely',3,'Life Sciences','Male','Married',1,'Yes','Laboratory Technician'
812,2,60,3,9,2,1,2,24,'Non-Travel',3,'Life Sciences','Male','Divorced',1,'No','Laboratory Technician'
816,2,36,1,1,9,1,2,29,'Travel_Rarely',2,'Life Sciences','Female','Married',1,'Yes','Laboratory Technician'
834,2,95,3,2,7,1,2,45,'Travel_Rarely',3,'Life Sciences','Female','Single',1,'No','Research Scientist'
911,2,87,2,25,6,1,3,32,'Travel_Rarely',4,'Life Sciences','Male','Single',1,'Yes','Laboratory Technician'
923,2,65,4,18,20,1,3,21,'Travel_Rarely',1,'Other','Female','Single',1,'No','Research Scientist'
933,2,76,2,4,3,1,3,27,'Travel_Rarely',3,'Life Sciences','Female','Single',1,'No','Research Scientist'
934,2,83,3,10,1,1,3,34,'Travel_Rarely',3,'Life Sciences','Male','Divorced',1,'No','Laboratory Technician'
960,2,84,5,4,9,1,3,20,'Travel_Rarely',3,'Technical Degree','Male','Single',1,'No','Laboratory Technician'
1016,2,98,3,11,10,1,2,20,'Travel_Rarely',3,'Medical','Female','Single',1,'Yes','Research Scientist'
1079,2,36,1,10,4,1,2,21,'Travel_Rarely',3,'Life Sciences','Female','Single',1,'No','Laboratory Technician'
1107,2,37,4,21,14,1,3,26,'Travel_Rarely',3,'Medical','Male','Divorced',1,'No','Laboratory Technician'
1111,2,45,5,1,5,1,2,28,'Travel_Frequently',3,'Medical','Male','Divorced',1,'No','Laboratory Technician'
1175,2,79,4,12,14,1,3,28,'Travel_Rarely',1,'Life Sciences','Female','Married',1,'Yes','Laboratory Technician'
1193,2,54,1,9,9,1,3,19,'Travel_Rarely',2,'Life Sciences','Male','Single',1,'No','Research Scientist'
1203,2,48,5,3,9,1,2,22,'Travel_Frequently',4,'Life Sciences','Male','Married',0,'Yes','Research Scientist'
1219,2,97,4,17,8,1,3,24,'Travel_Rarely',2,'Life Sciences','Female','Married',1,'No','Laboratory Technician'
1248,2,96,2,10,8,1,2,19,'Non-Travel',3,'Medical','Female','Single',1,'Yes','Research Scientist'
1269,2,57,1,25,16,1,4,19,'Travel_Rarely',3,'Life Sciences','Female','Single',1,'Yes','Research Scientist'
1270,2,47,3,1,3,1,3,23,'Travel_Rarely',2,'Life Sciences','Male','Married',1,'No','Research Scientist'
1433,2,34,1,8,8,1,2,31,'Travel_Rarely',3,'Life Sciences','Female','Single',1,'No','Research Scientist'
1482,2,64,3,7,20,1,3,30,'Non-Travel',3,'Technical Degree','Male','Divorced',1,'No','Research Scientist'
1506,2,72,5,1,12,1,2,28,'Travel_Rarely',3,'Life Sciences','Male','Divorced',1,'No','Research Scientist'
1569,2,69,2,2,8,1,3,35,'Travel_Rarely',3,'Life Sciences','Female','Divorced',1,'Yes','Laboratory Technician'
1577,2,35,4,7,16,1,3,34,'Travel_Rarely',4,'Medical','Male','Single',1,'No','Research Scientist'
1581,2,89,5,3,19,1,3,26,'Travel_Rarely',3,'Life Sciences','Female','Married',1,'No','Research Scientist'
1601,2,63,4,7,1,1,2,35,'Travel_Rarely',2,'Life Sciences','Male','Married',1,'No','Laboratory Technician'
1604,2,51,5,24,15,1,3,28,'Travel_Rarely',3,'Medical','Male','Married',1,'Yes','Laboratory Technician'
