school_name,University.ID
Harvard University,1
California Institute of Technology,2
Massachusetts Institute of Technology,3
Stanford University,4
Princeton University,5
University of Cambridge,6
University of Oxford,7
"University of California, Berkeley",8
Imperial College London,9
Yale University,10
"University of California, Los Angeles",11
University of Chicago,12
Johns Hopkins University,13
Cornell University,14
ETH Zurich – Swiss Federal Institute of Technology Zurich,15
University of Michigan,16
University of Toronto,17
Columbia University,18
University of Pennsylvania,19
Carnegie Mellon University,20
