'University.ID','school_name'
16,'University of Michigan'
20,'Carnegie Mellon University'
10,'Yale University'
8,"'University of California, Berkeley'"
15,'ETH Zurich – Swiss Federal Institute of Technology Zurich'
13,'Johns Hopkins University'
9,'Imperial College London'
12,'University of Chicago'
19,'University of Pennsylvania'
17,'University of Toronto'
11,"'University of California, Los Angeles'"
6,'University of Cambridge'
1,'Harvard University'
2,'California Institute of Technology'
14,'Cornell University'
7,'University of Oxford'
3,'Massachusetts Institute of Technology'
4,'Stanford University'
5,'Princeton University'
18,'Columbia University'
